Code_commune_INSEE,Nom_commune,Code_postal,Ligne_5,Libellé_d_acheminement,coordonnees_geographiques_x,coordonnees_geographiques_y
22002,ANDEL,22400,,ANDEL,48.49410569,-2.551043716
22014,BOURSEUL,22130,,BOURSEUL,48.467127385,-2.264932118
22016,ILE DE BREHAT,22870,,ILE DE BREHAT,48.858114867,-3.003513815
22020,BROONS,22250,,BROONS,48.311312015,-2.240918454
22023,BULAT PESTIVIEN,22160,,BULAT PESTIVIEN,48.434294258,-3.332709572
22025,CALLAC,22160,,CALLAC DE BRETAGNE,48.421972056,-3.416489607
22032,CAULNES,22350,,CAULNES,48.302142635,-2.160425566
22039,LA CHEZE,22210,,LA CHEZE,48.134140598,-2.662484355
22041,COATASCORN,22140,,COATASCORN,48.669567466,-3.255263649
22044,COETMIEUX,22400,,COETMIEUX,48.48660486,-2.592206508
22046,LE MENE,22330,ST GOUENO,LE MENE,48.282633111,-2.531186445
22046,LE MENE,22330,ST JACUT DU MENE,LE MENE,48.282633111,-2.531186445
22047,CORLAY,22320,,CORLAY,48.309913353,-3.037663372
22050,DINAN,22100,,DINAN,48.446122862,-2.051305632
22054,ERQUY,22430,CAROUAL,ERQUY,48.619417039,-2.458382714
22054,ERQUY,22430,LES HOPITAUX,ERQUY,48.619417039,-2.458382714
22063,GOMMENEC H,22290,,GOMMENEC H,48.637393035,-3.04781756
22067,GRACES,22200,,GRACES,48.544781997,-3.182427449
22076,HENANBIHEN,22550,,HENANBIHEN,48.557983876,-2.381556448
22084,JUGON LES LACS COMMUNE NOUVELLE,22270,DOLO,JUGON LES LACS COMMUNE NOUVELLE,48.406110996,-2.326902147
22084,JUGON LES LACS COMMUNE NOUVELLE,22270,ST IGNEUC,JUGON LES LACS COMMUNE NOUVELLE,48.406110996,-2.326902147
22087,KERGRIST MOELOU,22110,,KERGRIST MOELOU,48.294604205,-3.325603286
22090,KERMARIA SULARD,22450,,KERMARIA SULARD,48.773490968,-3.373389455
22093,LAMBALLE ARMOR,22400,LAMBALLE,LAMBALLE ARMOR,48.485734593,-2.472990332
22093,LAMBALLE ARMOR,22400,PLANGUENOUAL,LAMBALLE ARMOR,48.485734593,-2.472990332
22093,LAMBALLE ARMOR,22400,TREGOMAR,LAMBALLE ARMOR,48.485734593,-2.472990332
22097,LA LANDEC,22980,,LA LANDEC,48.42566669,-2.183105118
22104,LANGUEDIAS,22980,,LANGUEDIAS,48.393034923,-2.205716553
22107,BON REPOS SUR BLAVET,22570,PERRET,BON REPOS SUR BLAVET,48.223995004,-3.123600422
22115,LANRIVAIN,22480,,LANRIVAIN,48.359080915,-3.215237264
22116,LANRODEC,22170,,LANRODEC,48.499564605,-3.043315239
22117,LANTIC,22410,NOTRE DAME DE LA COUR,LANTIC,48.60420815,-2.898801204
22118,LANVALLAY,22100,ST SOLEN,LANVALLAY,48.451576812,-2.011490444
22121,LANVOLLON,22290,,LANVOLLON,48.633506703,-2.990158549
22135,LOUARGAT,22540,,LOUARGAT,48.561117357,-3.340901278
22139,MAGOAR,22480,,MAGOAR,48.401214491,-3.17709856
22141,MANTALLOT,22450,,MANTALLOT,48.71048125,-3.292636862
22143,MATIGNON,22550,,MATIGNON,48.6016128,-2.290149818
22144,LA MEAUGON,22440,,LA MEAUGON,48.504424135,-2.846723287
22160,NOYAL,22400,,NOYAL,48.451110783,-2.463797774
22164,PEDERNEC,22540,LE QUINQUIS,PEDERNEC,48.588026489,-3.277099925
22165,PENGUILY,22510,,PENGUILY,48.371268497,-2.494263392
22168,PERROS GUIREC,22700,PLOUMANACH,PERROS GUIREC,48.812104419,-3.466956832
22177,PLEGUIEN,22290,,PLEGUIEN,48.634839291,-2.948372029
22183,PLEMET,22210,,PLEMET,48.174589649,-2.597019243
22184,PLEMY,22150,,PLEMY,48.33814777,-2.676607262
22194,PLESTIN LES GREVES,22310,ST EFFLAM,PLESTIN LES GREVES,48.647713454,-3.620177657
22195,PLEUBIAN,22610,L ARMOR,PLEUBIAN,48.842891237,-3.134523886
22197,PLEUDIHEN SUR RANCE,22690,,PLEUDIHEN SUR RANCE,48.509515077,-1.94126291
22201,PLEVENON,22240,,PLEVENON,48.656473906,-2.319970446
22205,PLOREC SUR ARGUENON,22130,,PLOREC SUR ARGUENON,48.463606587,-2.301044567
22210,PLOUBAZLANEC,22620,L ARCOUEST,PLOUBAZLANEC,48.805320954,-3.04473119
22215,PLOUFRAGAN,22440,,PLOUFRAGAN,48.487289354,-2.808099038
22215,PLOUFRAGAN,22440,LES CROIX,PLOUFRAGAN,48.487289354,-2.808099038
22221,PLOUGUIEL,22220,,PLOUGUIEL,48.804944488,-3.244652701
22236,PLUDUAL,22290,,PLUDUAL,48.666240012,-2.986208201
22249,PONT MELVEZ,22390,,PONT MELVEZ,48.474317873,-3.284974982
22257,QUEMPERVEN,22450,,QUEMPERVEN,48.725723061,-3.336661973
22265,ROSPEZ,22300,,ROSPEZ,48.735707442,-3.386852444
22271,ST ADRIEN,22390,,ST ADRIEN,48.489391674,-3.132212629
22273,ST ALBAN,22400,,ST ALBAN,48.554724543,-2.508754851
22281,ST CARREUC,22150,,ST CARREUC,48.404116195,-2.749730127
22282,ST CAST LE GUILDO,22380,NOTRE DAME DU GUILDO,ST CAST LE GUILDO,48.60362037,-2.248600685
22283,ST CLET,22260,,ST CLET,48.66983713,-3.137436531
22289,ST FIACRE,22720,,ST FIACRE,48.45524135,-3.052648675
22293,ST GILLES LES BOIS,22290,,ST GILLES LES BOIS,48.657131642,-3.090866393
22317,ST MELOIR DES BOIS,22980,,ST MELOIR DES BOIS,48.442385045,-2.257028528
22319,ST MICHEL EN GREVE,22300,,ST MICHEL EN GREVE,48.674343414,-3.55664739
22327,ST SAMSON SUR RANCE,22100,,ST SAMSON SUR RANCE,48.491427043,-2.01862491
22333,ST VRAN,22230,,ST VRAN,48.24330087,-2.45695156
22334,ST IGEAUX,22570,,ST IGEAUX,48.277397126,-3.114492415
22346,TREDANIEL,22510,,TREDANIEL,48.346521095,-2.60527508
22352,TREFUMEL,22630,,TREFUMEL,48.337331903,-2.023930455
22353,TREGASTEL,22730,,TREGASTEL,48.817228001,-3.507325469
22363,TRELEVERN,22660,,TRELEVERN,48.80139516,-3.369686834
22365,TREMARGAT,22110,,TREMARGAT,48.330117497,-3.26716046
22366,TREMEL,22310,,TREMEL,48.60491008,-3.617901524
22378,TREVEREC,22290,,TREVEREC,48.659311424,-3.055160991
22379,TREVOU TREGUIGNEC,22660,,TREVOU TREGUIGNEC,48.811886933,-3.34490682
22381,TREZENY,22450,,TREZENY,48.754383331,-3.361108888
22385,LA VICOMTE SUR RANCE,22690,,LA VICOMTE SUR RANCE,48.487850282,-1.983393035
22388,VILDE GUINGALAN,22980,,VILDE GUINGALAN,48.436341144,-2.151586081
22389,YFFINIAC,22120,,YFFINIAC,48.4679349,-2.681727195
22001,ALLINEUC,22460,,ALLINEUC,48.311573307,-2.867064963
22004,BEGARD,22140,TREZELAN,BEGARD,48.634782583,-3.291535083
22006,BERHET,22140,,BERHET,48.697506385,-3.30845977
22012,LA BOUILLIE,22240,,LA BOUILLIE,48.583588595,-2.441947295
22021,BRUSVILY,22100,,BRUSVILY,48.393989061,-2.117702839
22027,LE CAMBOUT,22210,,LE CAMBOUT,48.059112645,-2.620841932
22031,CARNOET,22160,,CARNOET,48.3592397,-3.532103641
22033,CAUREL,22530,,CAUREL,48.217245547,-3.039755655
22034,CAVAN,22140,,CAVAN,48.682154744,-3.352407327
22037,LA CHAPELLE NEUVE,22160,,LA CHAPELLE NEUVE,48.465714134,-3.439967064
22046,LE MENE,22330,LE GOURAY,LE MENE,48.282633111,-2.531186445
22048,CORSEUL,22130,,CORSEUL,48.483035588,-2.166319018
22049,CREHEN,22130,,CREHEN,48.53989692,-2.190296083
22052,DUAULT,22160,,DUAULT,48.364888617,-3.436000756
22055,BINIC ETABLES SUR MER,22520,BINIC,BINIC ETABLES SUR MER,48.616851128,-2.837862888
22062,GOMENE,22230,,GOMENE,48.180098194,-2.49202851
22067,GRACES,22200,GOURLAN GRACES,GRACES,48.544781997,-3.182427449
22068,GRACE UZEL,22460,,GRACE UZEL,48.250373749,-2.794165533
22070,GUINGAMP,22200,,GUINGAMP,48.560629908,-3.153482472
22081,HILLION,22120,ST RENE HILLION,HILLION,48.50299934,-2.646209136
22083,ILLIFAUT,22230,,ILLIFAUT,48.144442615,-2.336135453
22086,KERFOT,22500,,KERFOT,48.736872066,-3.031479505
22091,KERMOROC H,22140,,KERMOROC H,48.614871381,-3.20363397
22093,LAMBALLE ARMOR,22400,MORIEUX,LAMBALLE ARMOR,48.485734593,-2.472990332
22093,LAMBALLE ARMOR,22400,ST AARON,LAMBALLE ARMOR,48.485734593,-2.472990332
22095,LANDEBAERON,22140,,LANDEBAERON,48.637650067,-3.204871813
22098,LANDEHEN,22400,,LANDEHEN,48.422074366,-2.541774632
22106,LANGUEUX,22360,,LANGUEUX,48.5000312,-2.709716021
22108,LANLEFF,22290,,LANLEFF,48.693054909,-3.046367898
22110,LANMERIN,22300,,LANMERIN,48.739896973,-3.357535431
22126,LE LESLAY,22800,,LE LESLAY,48.423988985,-2.965116606
22134,LOUANNEC,22700,,LOUANNEC,48.783589414,-3.412307723
22145,MEGRIT,22270,,MEGRIT,48.389735749,-2.267409842
22147,MERDRIGNAC,22230,,MERDRIGNAC,48.193667485,-2.396224664
22152,MINIHY TREGUIER,22220,,MINIHY TREGUIER,48.767972513,-3.259389123
22153,MONCONTOUR,22510,,MONCONTOUR DE BRETAGNE,48.358238515,-2.633786769
22157,LE MOUSTOIR,22340,,LE MOUSTOIR,48.273660501,-3.49127303
22166,PENVENAN,22710,PORT BLANC,PENVENAN,48.816972706,-3.301924259
22168,PERROS GUIREC,22700,,PERROS GUIREC,48.812104419,-3.466956832
22169,PEUMERIT QUINTIN,22480,,PEUMERIT QUINTIN,48.363361135,-3.285099446
22178,PLEHEDEL,22290,,PLEHEDEL,48.694654588,-3.006755586
22179,FREHEL,22240,,FREHEL,48.634581636,-2.361916102
22179,FREHEL,22240,SABLES D OR LES PINS,FREHEL,48.634581636,-2.361916102
22180,PLELAN LE PETIT,22980,,PLELAN LE PETIT,48.426818936,-2.22411872
22181,PLELAUFF,22570,,PLELAUFF,48.198310035,-3.203805807
22183,PLEMET,22210,LA FERRIERE,PLEMET,48.174589649,-2.597019243
22186,PLENEUF VAL ANDRE,22370,,PLENEUF VAL ANDRE,48.583591123,-2.529606692
22187,PLERIN,22190,,PLERIN,48.543995224,-2.769716199
22188,PLERNEUF,22170,,PLERNEUF,48.505787794,-2.88048429
22203,PLOEUC L HERMITAGE,22150,PLOEUC SUR LIE,PLOEUC L HERMITAGE,48.340742832,-2.795292566
22209,BEAUSSAIS SUR MER,22650,PLOUBALAY,BEAUSSAIS SUR MER,48.560466315,-2.136524705
22214,PLOUEZEC,22470,LE QUESTEL,PLOUEZEC,48.738584393,-2.979238556
22216,PLOUGONVER,22810,,PLOUGONVER,48.485023131,-3.374817472
22224,PLOULEC H,22300,LE YAUDET,PLOULEC H,48.71803918,-3.500180988
22225,PLOUMAGOAR,22970,,PLOUMAGOAR,48.530550126,-3.109403481
22226,PLOUMILLIAU,22300,,PLOUMILLIAU,48.683792046,-3.513471005
22228,PLOUNEVEZ MOEDEC,22810,,PLOUNEVEZ MOEDEC,48.551149025,-3.445164456
22229,PLOUNEVEZ QUINTIN,22110,,PLOUNEVEZ QUINTIN,48.28537131,-3.240792192
22232,PLOURHAN,22410,,PLOURHAN,48.631090986,-2.881998192
22239,PLUMAUDAN,22350,,PLUMAUDAN,48.356482801,-2.115088618
22242,PLURIEN,22240,,PLURIEN,48.609774553,-2.400184693
22243,PLUSQUELLEC,22160,,PLUSQUELLEC,48.399278508,-3.4840892
22245,PLUZUNET,22140,,PLUZUNET,48.636741845,-3.37148292
22248,POMMERIT LE VICOMTE,22200,,POMMERIT LE VICOMTE,48.61825596,-3.102894322
22251,PORDIC,22590,,PORDIC,48.567376479,-2.830210008
22251,PORDIC,22590,LA VILLE LOUAIS,PORDIC,48.567376479,-2.830210008
22256,QUEMPER GUEZENNEC,22260,,QUEMPER GUEZENNEC,48.699959286,-3.108934343
22259,QUEVERT,22100,,QUEVERT,48.463001441,-2.085788252
22262,QUINTIN,22800,,QUINTIN,48.40333741,-2.911691362
22264,LA ROCHE JAUDY,22450,POMMERIT JAUDY,LA ROCHE JAUDY,48.731681808,-3.233237382
22274,ST ANDRE DES EAUX,22630,,ST ANDRE DES EAUX,48.373142744,-2.013146235
22275,ST BARNABE,22600,,ST BARNABE,48.138231608,-2.702078881
22284,ST CONNAN,22480,,ST CONNAN,48.412455613,-3.075119081
22286,ST DENOUAL,22400,,ST DENOUAL,48.518755854,-2.383679307
22287,ST DONAN,22800,,ST DONAN,48.465810862,-2.886521009
22288,ST ETIENNE DU GUE DE L ISLE,22210,,ST ETIENNE DU GUE DE L ISLE,48.085702153,-2.643117223
22294,ST GILLES PLIGEAUX,22480,,ST GILLES PLIGEAUX,48.379694715,-3.086908606
22295,ST GILLES VIEUX MARCHE,22530,,ST GILLES VIEUX MARCHE,48.250201246,-2.969558154
